"aɪ"	"V"	"VV"
"a.ba.gi.sa.ja"	"V.CV.CV.CV.CV"	"V.CV.CV.CV.CV"
"a.da.ja"	"V.CV.CV"	"V.CV.CV"
"a.da.jam"	"V.CV.CVC"	"V.CV.CVC"
"a.daŋ"	"V.CVC"	"V.CVC"
"a.dan.ja"	"V.CVC.CV"	"V.CVC.CV"
"a.daː.rə"	"V.CV.CV"	"V.CVV.CV"
"a.da.wi"	"V.CV.CV"	"V.CV.CV"
"a.dʊn"	"V.CVC"	"V.CVC"
"a.dri.su"	"V.CCV.CV"	"V.CCV.CV"
"a.dru.ma.ja"	"V.CCV.CV.CV"	"V.CCV.CV.CV"
"a.dru.no"	"V.CCV.CV"	"V.CCV.CV"
"a.dʒam"	"V.CVC"	"V.CCVC"
"a.dʒa.ma.ja"	"V.CV.CV.CV"	"V.CCV.CV.CV"
"a.dʒa.man"	"V.CV.CVC"	"V.CCV.CVC"
"a.gan"	"V.CVC"	"V.CVC"
"a.dʒaːn"	"V.CVC"	"V.CCVVC"
"a.gɔn"	"V.CVC"	"V.CVC"
"a.go.na.ja"	"V.CV.CV.CV"	"V.CV.CV.CV"
"a.go.nan"	"V.CV.CVC"	"V.CV.CVC"
"a.gɔŋ"	"V.CVC"	"V.CVC"
"a.go.ni.saːn"	"V.CV.CV.CVC"	"V.CV.CV.CVVC"
"a.gu"	"V.CV"	"V.CV"
"a.gu.a.gu"	"V.CV.V.CV"	"V.CV.V.CV"
"a.gu.jan"	"V.CV.CVC"	"V.CV.CVC"
"a.gu.vaɪ"	"V.CV.CV"	"V.CV.CVV"
"a.hal"	"V.CVC"	"V.CVC"
"a.jə"	"V.CV"	"V.CV"
"a.je.ri"	"V.CV.CV"	"V.CV.CV"
"a.jɔn"	"V.CVC"	"V.CVC"
"a.kaɪ"	"V.CV"	"V.CVV"
"a.kan"	"V.CVC"	"V.CVC"
"a.ke.baɪ"	"V.CV.CV"	"V.CV.CVV"
"a.kʊn"	"V.CVC"	"V.CVC"
"a.lɪŋ.o"	"V.CVC.V"	"V.CVC.V"
"al.tan"	"VC.CVC"	"VC.CVC"
"a.maːn"	"V.CVC"	"V.CVVC"
"a.maŋ"	"V.CVC"	"V.CVC"
"aɪn"	"VC"	"VVC"
"a.na.man"	"V.CV.CVC"	"V.CV.CVC"
"a.naŋ"	"V.CVC"	"V.CVC"
"aŋ.an"	"VC.VC"	"VC.VC"
"aŋ.kju"	"VC.CCV"	"VC.CCV"
"aŋ.u"	"VC.V"	"VC.V"
"an.laː.go.nan"	"VC.CV.CV.CVC"	"VC.CVV.CV.CVC"
"an.la.ma.ja"	"VC.CV.CV.CV"	"VC.CV.CV.CV"
"an.lan"	"VC.CVC"	"VC.CVC"
"a.paɪ"	"V.CV"	"V.CVV"
"a.pan"	"V.CVC"	"V.CVC"
"a.pan.a.pan"	"V.CVC.V.CVC"	"V.CVC.V.CVC"
"a.pa.ni.su"	"V.CV.CV.CV"	"V.CV.CV.CV"
"a.pa.no"	"V.CV.CV"	"V.CV.CV"
"a.pa.pan"	"V.CV.CVC"	"V.CV.CVC"
"a.pi.ni.sa"	"V.CV.CV.CV"	"V.CV.CV.CV"
"a.pi.tu"	"V.CV.CV"	"V.CV.CV"
"a.pi.twan"	"V.CV.CCVC"	"V.CV.CCVC"
"a.pjan"	"V.CCVC"	"V.CCVC"
"a.pʊm"	"V.CVC"	"V.CVC"
"a.pɪn"	"V.CVC"	"V.CVC"
"a.ra"	"V.CV"	"V.CV"
"a.raɪ"	"V.CV"	"V.CVV"
"a.ran"	"V.CVC"	"V.CVC"
"ar.da"	"VC.CV"	"VC.CV"
"a.re.mɔɪ"	"V.CV.CV"	"V.CV.CVV"
"a.reːn"	"V.CVC"	"V.CVVC"
"a.ri.lɪn.ja"	"V.CV.CVC.CV"	"V.CV.CVC.CV"
"a.rɪl.ja"	"V.CVC.CV"	"V.CVC.CV"
"a.rʊn"	"V.CVC"	"V.CVC"
"aɪ.rɔn"	"V.CVC"	"VV.CVC"
"a.ru.no"	"V.CV.CV"	"V.CV.CV"
"a.saː.ja"	"V.CV.CV"	"V.CVV.CV"
"a.sa.jam"	"V.CV.CVC"	"V.CV.CVC"
"aɪ.su"	"V.CV"	"VV.CV"
"a.taʊ"	"V.CV"	"V.CVV"
"a.tam"	"V.CVC"	"V.CVC"
"a.tan"	"V.CVC"	"V.CVC"
"a.tas"	"V.CVC"	"V.CVC"
"a.traʊ"	"V.CCV"	"V.CCVV"
"a.trar.jaːn"	"V.CCVC.CVC"	"V.CCVC.CVVC"
"a.tras"	"V.CCVC"	"V.CCVC"
"a.van"	"V.CVC"	"V.CVC"
"a.va.na.ja"	"V.CV.CV.CV"	"V.CV.CV.CV"
"a.va.nan"	"V.CV.CVC"	"V.CV.CVC"
"a.va.nan.di.rʊn"	"V.CV.CVC.CV.CVC"	"V.CV.CVC.CV.CVC"
"a.van.ja"	"V.CVC.CV"	"V.CVC.CV"
"a.van.jo.naŋ"	"V.CVC.CV.CVC"	"V.CVC.CV.CVC"
"a.van.tan"	"V.CVC.CVC"	"V.CVC.CVC"
"a.va.ra.ran"	"V.CV.CV.CVC"	"V.CV.CV.CVC"
"a.vi.raŋ"	"V.CV.CVC"	"V.CV.CVC"
"ba.baɪ"	"CV.CV"	"CV.CVV"
"ba.baɪ.ra"	"CV.CV.CV"	"CV.CVV.CV"
"ba.ba.tʃan"	"CV.CV.CVC"	"CV.CV.CCVC"
"ba.be.kal"	"CV.CV.CVC"	"CV.CV.CVC"
"ba.dan"	"CV.CVC"	"CV.CVC"
"ba.daŋ.ɛŋ"	"CV.CVC.VC"	"CV.CVC.VC"
"ba.gam"	"CV.CVC"	"CV.CVC"
"ba.gan"	"CV.CVC"	"CV.CVC"
"ba.haɪ"	"CV.CV"	"CV.CVV"
"ba.ha.lan"	"CV.CV.CVC"	"CV.CV.CVC"
"baɪ.han"	"CV.CVC"	"CVV.CVC"
"baɪ.haŋ"	"CV.CVC"	"CVV.CVC"
"baɪ.hi"	"CV.CV"	"CVV.CV"
"baɪ.hi.saːn"	"CV.CV.CVC"	"CVV.CV.CVVC"
"ba.hi.si.no"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"ba.ho"	"CV.CV"	"CV.CV"
"ba.hɪs"	"CV.CVC"	"CV.CVC"
"ba.jan"	"CV.CVC"	"CV.CVC"
"ba.jo"	"CV.CV"	"CV.CV"
"ba.kaɪ"	"CV.CV"	"CV.CVV"
"ba.tʃa.do"	"CV.CV.CV"	"CV.CCV.CV"
"baɪ.kan"	"CV.CVC"	"CVV.CVC"
"baɪ.ki.saːn"	"CV.CV.CVC"	"CVV.CV.CVVC"
"ba.kɪn.dan"	"CV.CVC.CVC"	"CV.CVC.CVC"
"ba.laŋ"	"CV.CVC"	"CV.CVC"
"ba.laŋ.an"	"CV.CVC.VC"	"CV.CVC.VC"
"ba.li.mɛn"	"CV.CV.CVC"	"CV.CV.CVC"
"ba.lɔɪ"	"CV.CV"	"CV.CVV"
"ba.lu"	"CV.CV"	"CV.CV"
"baː.maː"	"CV.CV"	"CVV.CVV"
"ba.mɔn.do"	"CV.CVC.CV"	"CV.CVC.CV"
"ba.mɪs"	"CV.CVC"	"CV.CVC"
"ban"	"CVC"	"CVC"
"ba.na.ja"	"CV.CV.CV"	"CV.CV.CV"
"ba.nan"	"CV.CVC"	"CV.CVC"
"ba.nar"	"CV.CVC"	"CV.CVC"
"baŋ.al"	"CVC.VC"	"CVC.VC"
"ban.jan"	"CVC.CVC"	"CVC.CVC"
"ba.no"	"CV.CV"	"CV.CV"
"ban.ta"	"CVC.CV"	"CVC.CV"
"ba.raɪ"	"CV.CV"	"CV.CVV"
"ba.ras"	"CV.CVC"	"CV.CVC"
"ba.ri"	"CV.CV"	"CV.CV"
"ba.ri.pa.ta"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
"ba.sʊɪ"	"CV.CV"	"CV.CVV"
"ba.sa"	"CV.CV"	"CV.CV"
"ba.saːn"	"CV.CVC"	"CV.CVVC"
"baɪ.saːn"	"CV.CVC"	"CVV.CVVC"
"ba.ta"	"CV.CV"	"CV.CV"
"ba.ta.dan"	"CV.CV.CVC"	"CV.CV.CVC"
"baɪ.tan.de.vo"	"CV.CVC.CV.CV"	"CVV.CVC.CV.CV"
"baɪ.taŋ"	"CV.CVC"	"CVV.CVC"
"ba.taŋ.i.man"	"CV.CVC.V.CVC"	"CV.CVC.V.CVC"
"ba.teɪ"	"CV.CV"	"CV.CVV"
"ba.ti.ta.san"	"CV.CV.CV.CVC"	"CV.CV.CV.CVC"
"ba.ve.saŋ"	"CV.CV.CVC"	"CV.CV.CVC"
"be.daɪ"	"CV.CV"	"CV.CVV"
"be.daŋ"	"CV.CVC"	"CV.CVC"
"be.gam.tu.pɔɪ"	"CV.CVC.CV.CV"	"CV.CVC.CV.CVV"
"be.gan"	"CV.CVC"	"CV.CVC"
"be.ha.daŋ"	"CV.CV.CVC"	"CV.CV.CVC"
"be.kal"	"CV.CVC"	"CV.CVC"
"be.kan"	"CV.CVC"	"CV.CVC"
"be.kas"	"CV.CVC"	"CV.CVC"
"be.na.man"	"CV.CV.CVC"	"CV.CV.CVC"
"be.nan"	"CV.CVC"	"CV.CVC"
"be.nɛm"	"CV.CVC"	"CV.CVC"
"be.nɛn.jaːn"	"CV.CVC.CVC"	"CV.CVC.CVVC"
"bɛŋ.an"	"CVC.VC"	"CVC.VC"
"bɛŋ.a.no"	"CVC.V.CV"	"CVC.V.CV"
"bɛŋ.ɔn.dan"	"CVC.VC.CVC"	"CVC.VC.CVC"
"be.nʊŋ"	"CV.CVC"	"CV.CVC"
"be.ra.taːn"	"CV.CV.CVC"	"CV.CV.CVVC"
"bɛr.daɪ"	"CVC.CV"	"CVC.CVV"
"be.rɛm"	"CV.CVC"	"CV.CVC"
"be.se.no"	"CV.CV.CV"	"CV.CV.CV"
"be.so.ma.ja"	"CV.CV.CV.CV"	"CV.CV.CV.CV"
